
time 60.0
direction 138.13 -7.2599983
time 71.0
direction 138.12 -7.2299995
time 78.0
direction 138.09 -7.200001
time 89.0
direction 138.03 -7.1800003
time 99.0
direction 138.02 -7.200001
time 110.0
direction 138.03 -7.200001
time 119.0
direction 137.97 -7.2299995
time 140.0
direction 137.88 -7.209999
time 155.0
direction 137.79 -7.2299995
time 161.0
direction 137.78 -7.2400017
time 171.0
direction 137.77 -7.25
time 180.0
direction 137.77 -7.25
time 191.0
direction 137.77 -7.25
time 206.0
direction 137.75 -7.2400017
time 211.0
direction 137.73 -7.2400017
time 221.0
direction 137.71 -7.2400017
time 231.0
direction 137.68 -7.2299995
time 241.0
direction 137.66 -7.2299995
time 250.0
direction 137.64 -7.220001
time 260.0
direction 137.64 -7.220001
time 271.0
direction 137.64 -7.2299995
time 280.0
direction 137.63 -7.2299995
time 291.0
direction 137.64 -7.2299995
time 303.0
direction 137.65 -7.220001
time 310.0
direction 137.67 -7.209999
time 321.0
direction 137.7 -7.209999
time 330.0
direction 137.73 -7.209999
time 340.0
direction 137.77 -7.220001
time 354.0
direction 137.8 -7.2299995
time 360.0
direction 137.84 -7.2299995
time 371.0
direction 137.87 -7.2400017
time 380.0
direction 137.89 -7.25
time 390.0
direction 137.92 -7.2599983
time 403.0
direction 137.94 -7.2599983
time 410.0
direction 137.96 -7.2599983
time 421.0
direction 137.97 -7.2700005
time 431.0
direction 137.99 -7.2700005
time 441.0
direction 138.0 -7.2700005
time 450.0
direction 138.0 -7.279999
time 460.0
direction 138.0 -7.279999
time 470.0
direction 138.0 -7.290001
time 481.0
direction 138.0 -7.299999
time 490.0
direction 137.99 -7.3100014
time 503.0
direction 137.99 -7.3199997
time 511.0
direction 137.99 -7.330002
time 520.0
direction 137.99 -7.330002
time 530.0
direction 138.04 -7.330002
time 541.0
direction 138.03 -7.330002
time 550.0
direction 138.03 -7.330002
time 561.0
direction 138.02 -7.330002
time 572.0
direction 138.02 -7.330002
time 580.0
direction 138.02 -7.3199997
time 590.0
direction 138.03 -7.3199997
time 600.0
direction 138.03 -7.3199997
time 610.0
direction 138.04 -7.3199997
time 622.0
direction 138.04 -7.330002
time 630.0
direction 138.04 -7.330002
time 641.0
direction 138.04 -7.34
time 650.0
direction 138.04 -7.34
time 660.0
direction 138.04 -7.3600006
time 672.0
direction 138.04 -7.369999
time 680.0
direction 138.05 -7.4300003
time 701.0
direction 138.05 -7.459999
time 709.0
direction 138.05 -7.4900017
time 728.0
direction 138.06 -7.4399986
time 740.0
direction -59.99 -7.4300003
time 751.0
direction -60.0 -7.419998
time 760.0
direction -60.0 -7.419998
time 772.0
direction -60.0 -7.419998
time 781.0
direction -60.0 -7.41
time 795.0
direction -60.01 -7.4000015
time 801.0
direction -60.01 -7.4000015
