Values
-0,02
-0,03
-0,03
-0,02
0,03
0,05
0,06
0,07
0,08
0,1
0,12
0,15
0,18
0,2
0,23
0,25
0,28
0,3
0,31
0,32
0,33
0,33
0,33
0,33
0,33
0,32
0,32
0,3
0,29
0,28
0,27
0,26
0,25
0,25
0,25
0,25
0,25
0,25
0,24
0,23
0,22
0,22
0,22
0,23
0,24
0,24
0,25
0,26
0,28
0,29
0,3
0,31
0,31
0,31
0,3
0,27
0,25
0,21
0,16
0,11
0,06
0
-0,05
-0,11
-0,15
-0,2
-0,23
-0,26
-0,28
-0,28
-0,28
-0,26
-0,23
-0,21
-0,17
-0,15
-0,12
-0,11
-0,11
-0,11
-0,13
-0,16
-0,2
-0,24
-0,31
-0,37
-0,46
-0,56
-0,66
-0,79
-0,92
-1,06
-1,19
-1,34
-1,51
-1,69
-1,86
-2,05
-2,27
-2,45
-2,66
-2,88
-3,1
-3,35
-3,55
-3,79
-3,99
-4,21
-4,43
-4,68
-4,86
-5,06
-5,23
-5,42
-5,6
-5,78
-5,96
-6,16
-6,32
-6,51
-6,67
-6,84
-7,02
-7,21
-7,38
-7,53
-7,71
-7,91
-8,07
-8,25
-8,43
-8,59
-8,75
-8,85
-8,98
-9,1
-9,19
-9,29
-9,37
-9,44
-9,51
-9,55
-9,6
-9,65
-9,69
-9,71
-9,74
-9,76
-9,8
-9,85
-9,92
-9,99
-10,06
-10,13
-10,21
-10,29
-10,36
-10,44
-10,49
-10,53
-10,56
-10,57
-10,59
-10,6
-10,6
-10,6
-10,6
-10,59
-10,58
-10,57
-10,56
-10,55
-10,54
-10,53
-10,53
-10,54
-10,56
-10,58
-10,62
-10,67
-10,71
-10,77
-10,82
-10,87
-10,9
-10,93
-10,94
-10,96
-10,95
-10,94
-10,9
-10,86
-10,82
-10,75
-10,68
-10,6
-10,52
-10,43
-10,36
-10,28
-10,22
-10,17
-10,13
-10,1
-10,07
-10,06
-10,05
-10,06
-10,08
-10,12
-10,16
-10,22
-10,28
-10,35
-10,42
-10,48
-10,54
-10,6
-10,65
-10,72
-10,79
-10,88
-10,95
-11,05
-11,13
-11,22
-11,31
-11,4
-11,5
-11,6
-11,72
-11,84
-11,98
-12,09
-12,23
-12,38
-12,53
-12,69
-12,82
-12,99
-13,16
-13,29
-13,47
-13,62
-13,81
-13,94
-14,09
-14,25
-14,36
-14,51
-14,6
